UID,Datatype,Recipient,Condition,Class
995,5,4,0,1
995,8,11,0,1
829,6,11,3,1
829,7,14,0,1
829,7,2,0,1
829,14,15,0,0
829,14,14,0,0
829,6,12,5,1
829,1,12,1,1
829,14,9,0,0
829,13,11,2,0
829,13,12,0,0
829,13,12,2,0
829,1,12,0,1
829,6,12,2,1
829,1,5,0,1
829,7,14,1,1
829,7,14,5,1
829,6,12,4,1
829,14,11,0,0
829,13,15,0,0
829,14,12,0,0
829,1,12,3,1
829,6,11,4,1
829,2,12,3,0
829,6,12,3,1
829,1,7,0,1
829,14,15,0,0
829,6,15,5,0
829,1,6,0,1
829,7,11,1,1
829,7,15,0,1
829,14,10,0,0
829,2,11,1,0
829,6,15,3,0
829,14,11,0,0
829,7,14,0,1
829,6,15,4,0
829,2,12,2,0
829,7,5,0,0
829,2,11,5,0
829,13,12,0,0
829,1,12,1,1
829,1,11,3,1
829,2,12,5,0
829,7,9,0,0
829,7,12,0,1
829,2,12,5,0
621,8,6,0,0
621,8,5,0,0
621,12,12,4,0
621,12,15,3,0
621,13,12,2,0
621,13,12,0,1
621,13,15,1,0
621,5,10,0,1
621,9,14,0,1
621,2,11,5,0
621,12,12,4,0
621,8,3,0,0
621,8,14,5,0
621,13,12,1,0
621,5,12,3,0
621,2,12,2,0
621,5,12,1,0
621,5,6,0,1
621,2,9,0,1
621,13,12,3,0
621,13,12,1,0
621,2,12,4,0
621,9,4,0,0
621,8,11,5,0
621,9,14,4,0
621,2,12,3,0
621,8,3,0,0
621,13,14,5,0
621,12,15,0,0
621,5,12,0,1
621,12,15,5,0
621,12,15,4,0
621,8,11,4,0
621,13,15,3,0
621,12,14,0,0
621,13,15,0,0
621,8,10,0,1
621,9,12,3,0
621,9,7,0,0
621,12,12,3,0
621,5,2,0,0
621,12,15,0,0
621,2,12,1,0
621,8,9,0,1
621,5,10,0,1
621,5,7,0,1
976,10,2,0,0
976,3,11,1,1
976,7,15,5,1
976,10,15,1,1
976,11,12,0,1
976,11,14,2,1
976,10,3,0,0
976,3,10,0,1
976,1,14,3,1
976,3,4,0,1
976,3,15,5,1
976,13,15,4,1
976,10,14,5,1
976,10,12,0,1
976,1,15,1,1
976,1,3,0,1
976,13,12,0,1
976,13,11,1,1
976,10,4,0,0
976,10,12,2,1
976,11,12,5,0
976,3,12,5,1
976,13,15,0,1
976,11,12,0,1
976,1,4,0,1
976,10,15,0,1
976,10,14,4,1
976,10,14,1,1
976,3,5,0,1
976,11,14,4,1
976,7,14,0,1
976,11,12,3,1
976,1,12,5,1
976,11,12,1,1
976,13,12,2,1
976,7,15,0,1
976,10,14,2,1
976,10,3,0,0
976,7,6,0,0
976,1,14,2,1
976,3,12,0,1
976,13,12,0,1
976,7,15,2,1
976,1,7,0,1
976,13,12,5,0
976,7,15,4,1
733,6,9,0,1
733,6,7,0,0
733,6,12,1,0
733,14,12,4,0
733,4,10,0,0
733,5,5,0,0
733,6,15,3,0
733,7,11,0,0
733,6,10,0,1
733,6,12,0,1
733,14,15,0,0
733,4,8,0,0
733,6,15,2,0
733,5,15,0,1
733,6,2,0,0
733,6,12,5,0
733,6,12,3,0
733,7,14,5,0
733,13,10,0,0
733,7,15,0,0
733,14,11,1,0
733,13,3,0,0
733,5,14,5,0
733,5,2,0,0
733,4,9,0,0
733,5,14,3,0
733,5,9,0,0
733,4,12,1,0
733,5,7,0,0
733,4,12,2,0
733,4,12,4,0
733,6,8,0,0
733,6,7,0,0
733,7,12,0,1
733,5,15,4,0
733,14,11,4,0
733,7,14,2,0
733,5,1,0,0
733,13,14,0,1
733,14,12,2,0
733,13,8,0,0
733,14,11,2,0
733,14,11,0,0
733,5,14,2,0
733,5,15,2,0
733,14,14,0,0
1194,8,12,2,0
1194,11,12,4,1
1194,11,12,0,1
1194,11,14,2,1
1194,11,15,3,0
1194,7,1,0,1
1194,7,7,0,1
1194,5,11,3,0
1194,5,8,0,0
1194,5,15,4,0
1194,2,12,2,0
1194,7,6,0,1
1194,14,12,0,1
1194,8,14,5,1
1194,5,15,3,0
1194,14,14,4,1
1194,14,14,5,1
1194,7,7,0,1
1194,2,11,5,1
1194,8,12,0,1
1194,2,12,0,1
1194,14,12,1,1
1194,14,6,0,1
1194,5,12,5,1
1194,7,10,0,1
1194,11,12,3,1
1194,8,12,5,1
1194,14,1,0,0
1194,8,12,2,1
1194,2,15,4,0
1194,11,12,1,1
1194,11,14,0,1
1194,11,14,5,1
1194,14,14,0,1
1194,5,2,0,0
1194,7,8,0,1
1194,7,12,1,1
1194,14,14,3,1
1194,2,11,0,1
1194,7,5,0,1
1194,14,15,1,0
1194,2,8,0,1
1194,8,11,0,0
1194,11,4,0,1
1194,2,15,0,1
1194,14,2,0,0
447,7,3,0,1
447,12,11,4,1
447,15,3,0,0
447,15,8,0,0
447,5,15,0,0
447,15,6,0,0
447,3,8,0,0
447,3,12,2,1
447,15,10,0,0
447,15,14,0,1
447,7,11,1,1
447,8,15,0,0
447,8,14,4,1
447,7,6,0,1
447,12,14,4,1
447,5,12,1,0
447,8,12,0,1
447,3,14,2,1
447,5,12,4,0
447,12,11,5,1
447,5,8,0,0
447,12,5,0,1
447,7,14,0,1
447,12,3,0,1
447,15,15,0,0
447,5,14,5,1
447,5,15,5,0
447,7,15,4,0
447,8,2,0,1
447,15,5,0,0
447,8,14,3,1
447,3,9,0,0
447,5,1,0,0
447,12,14,3,1
447,7,15,3,0
447,7,14,1,1
447,7,14,2,1
447,12,14,5,1
447,12,12,0,1
447,3,12,0,1
447,12,2,0,1
447,8,6,0,1
447,12,14,0,1
447,3,4,0,0
447,3,2,0,0
447,3,15,0,1
1033,9,2,0,0
1033,14,12,0,0
1033,9,2,0,0
1033,15,14,2,0
1033,15,12,0,1
1033,13,2,0,0
1033,4,2,0,0
1033,10,14,1,0
1033,2,14,0,1
1033,13,6,0,1
1033,3,2,0,0
1033,2,15,4,1
1033,3,8,0,1
1033,10,15,4,1
1033,9,1,0,0
1033,9,3,0,1
1033,4,3,0,1
1033,10,14,0,1
1033,11,12,0,1
1033,2,9,0,1
1033,9,11,1,0
1033,15,14,4,0
1033,13,11,0,1
1033,7,12,2,0
1033,9,12,4,1
1033,10,5,0,0
1033,7,4,0,1
1033,4,11,0,1
1033,7,3,0,1
1033,9,5,0,0
1033,4,12,0,1
1033,4,5,0,0
1033,7,2,0,0
1033,3,10,0,1
1033,11,12,4,1
1033,2,15,5,0
1033,13,10,0,0
1033,4,11,1,0
1033,14,12,1,0
1033,14,12,4,1
1033,14,12,2,0
1033,10,11,0,0
1033,3,2,0,0
1033,7,9,0,1
1033,15,11,5,0
1033,10,4,0,0
285,2,10,0,0
285,12,5,0,0
285,10,15,5,0
285,11,5,0,0
285,1,9,0,0
285,8,12,1,0
285,15,2,0,0
285,5,12,3,0
285,8,11,3,0
285,8,6,0,0
285,2,11,1,0
285,5,12,0,0
285,8,10,0,1
285,8,12,5,0
285,8,14,2,0
285,8,12,3,0
285,1,5,0,1
285,8,12,0,0
285,10,14,0,0
285,2,9,0,0
285,11,15,3,0
285,10,11,3,0
285,5,12,0,0
285,12,12,4,0
285,2,15,0,1
285,8,15,0,1
285,8,14,0,0
285,12,12,0,0
285,5,12,2,0
285,1,11,4,0
285,2,12,2,0
285,15,11,1,0
285,15,8,0,0
285,9,8,0,0
285,2,12,0,1
285,11,15,0,1
285,15,10,0,0
285,12,15,0,0
285,2,11,0,0
285,2,12,2,0
285,9,11,2,0
285,10,7,0,0
285,1,10,0,1
285,1,8,0,0
285,2,12,5,0
285,11,15,5,0
577,7,1,0,0
577,7,3,0,0
577,14,8,0,1
577,10,4,0,1
577,10,14,4,1
577,10,3,0,1
577,5,12,1,1
577,10,14,0,1
577,10,12,1,1
577,14,4,0,1
577,14,12,2,1
577,15,1,0,1
577,4,12,3,1
577,5,12,2,1
577,14,14,3,1
577,10,15,4,0
577,7,14,0,1
577,5,5,0,0
577,7,11,1,1
577,14,12,4,1
577,4,9,0,0
577,7,12,0,1
577,10,11,4,0
577,7,11,0,1
577,5,6,0,1
577,5,12,4,1
577,15,12,0,1
577,14,15,0,1
577,7,10,0,0
577,15,3,0,1
577,14,9,0,1
577,4,15,3,0
577,10,15,5,0
577,15,12,2,1
577,4,12,5,1
577,4,15,2,0
577,10,12,2,1
577,5,15,0,0
577,5,15,5,0
577,7,12,0,0
577,7,5,0,0
577,10,15,2,0
577,15,4,0,0
577,10,12,4,0
577,4,15,1,0
577,5,15,4,0
286,15,14,0,1
286,4,14,5,0
286,4,14,1,0
286,5,4,0,1
286,15,11,0,1
286,4,8,0,1
286,14,14,0,1
286,14,10,0,0
286,14,11,0,1
286,15,15,4,0
286,4,12,0,1
286,5,3,0,1
286,9,10,0,1
286,9,12,4,1
286,5,15,2,0
286,8,14,0,1
286,8,15,0,1
286,5,14,3,1
286,4,14,0,1
286,8,12,2,1
286,4,10,0,1
286,14,11,4,1
286,14,12,3,0
286,15,11,0,1
286,14,5,0,0
