82,door locker,law enforcement agencies,if you can delete or review the data,0
82,banking,advertising agencies,if you can delete or review the data,1
82,banking,skills,if the data is kept confidential,1
82,location,your siblings,no condition,0
530,thermostat,close family,no condition,0
530,video call,skills,if you can delete or review the data,1
530,sleep hours,house keeper/helper,no condition,1
530,healthcare,your children,no condition,1
530,healthcare,house keeper/helper,no condition,1
530,thermostat,your parents,no condition,0
530,healthcare,your friends,no condition,1
530,call assistant,your friends,no condition,1
530,thermostat,skills,if the data is stored for as long as necessary for the purpose,1
530,video call,advertising agencies,if you are notified,1
530,email,house keeper/helper,no condition,1
530,healthcare,advertising agencies,if the data is stored for as long as necessary for the purpose,1
530,video call,advertising agencies,no condition,1
530,call assistant,assistant provider,if you are notified,0
530,call assistant,your children,no condition,1
530,call assistant,law enforcement agencies,if the data is stored for as long as necessary for the purpose,1
530,healthcare,your children,no condition,1
530,video call,advertising agencies,if the data is stored for as long as necessary for the purpose,1
530,video call,house keeper/helper,no condition,0
530,thermostat,your children,no condition,0
530,video call,your partner,no condition,0
530,sleep hours,law enforcement agencies,if the data is stored for as long as necessary for the purpose,1
530,call assistant,law enforcement agencies,if you can delete or review the data,1
530,call assistant,law enforcement agencies,if you are notified,1
530,video call,your friends,no condition,0
530,healthcare,advertising agencies,no condition,1
530,email,assistant provider,if the data is kept confidential,1
530,healthcare,your partner,no condition,0
530,thermostat,law enforcement agencies,no condition,1
530,email,skills,if the data is stored for as long as necessary for the purpose,1
530,thermostat,advertising agencies,no condition,1
530,call assistant,assistant provider,if the data is stored for as long as necessary for the purpose,0
530,thermostat,skills,if the data is anonymous,1
530,thermostat,skills,if you can delete or review the data,1
530,sleep hours,law enforcement agencies,if you can delete or review the data,1
530,call assistant,law enforcement agencies,if the data is kept confidential,1
530,call assistant,law enforcement agencies,no condition,1
530,healthcare,your parents,no condition,1
530,video call,advertising agencies,no condition,1
530,call assistant,your parents,no condition,1
530,sleep hours,advertising agencies,no condition,1
530,video call,neighbours,no condition,0
530,thermostat,your partner,no condition,0
530,email,advertising agencies,if the data is kept confidential,1
530,healthcare,close family,no condition,1
530,email,neighbours,no condition,1
1047,location,assistant provider,if you are notified,1
1047,sleep hours,advertising agencies,if the data is kept confidential,1
1047,sleep hours,skills,if you are notified,1
1047,camera,skills,if you are notified,1
1047,sleep hours,skills,if the data is anonymous,1
1047,camera,skills,if the data is stored for as long as necessary for the purpose,1
1047,location,skills,if you are notified,0
1047,healthcare,assistant provider,if the data is stored for as long as necessary for the purpose,1
1047,sleep hours,skills,no condition,1
1047,video call,your children,no condition,0
1047,video call,law enforcement agencies,if the data is stored for as long as necessary for the purpose,1
1047,sleep hours,house keeper/helper,no condition,1
1047,camera,skills,no condition,1
1047,camera,skills,if the data is anonymous,1
1047,sleep hours,advertising agencies,if you can delete or review the data,1
1047,camera,law enforcement agencies,if the data is anonymous,1
1047,healthcare,house keeper/helper,no condition,1
1047,video call,your friends,no condition,0
1047,shopping,your parents,no condition,1
1047,location,law enforcement agencies,if the data is anonymous,1
1047,healthcare,your housemates,no condition,1
1047,healthcare,close family,no condition,1
1047,video call,your partner,no condition,0
1047,shopping,skills,if you are notified,0
